rad,vrot,evrot
-43.3,-234.7,12.2
-42.7,-224.9,8.0
-42.1,-213.2,7.8
-41.5,-203.2,9.7
-41.0,-198.0,11.3
-36.9,-146.1,14.8
-27.7,-239.5,9.4
-27.1,-228.0,7.6
-26.5,-219.6,4.7
-26.0,-219.6,4.5
-25.4,-216.9,4.0
-24.8,-226.5,4.9
-24.2,-228.0,3.1
-23.7,-226.1,1.8
-23.1,-222.5,1.2
-22.5,-220.4,1.2
-21.9,-217.1,1.2
-21.3,-215.3,1.3
-20.8,-215.6,1.6
-20.2,-219.1,2.0
-19.6,-222.0,2.0
-19.0,-221.8,2.2
-18.5,-222.3,2.9
-17.9,-225.7,3.1
-17.3,-226.2,2.7
-16.7,-226.3,1.9
-16.2,-222.7,1.3
-15.6,-221.8,1.2
-15.0,-220.0,1.2
-14.4,-218.9,1.3
-13.8,-215.7,1.2
-13.3,-214.8,1.2
-12.7,-213.5,1.1
-12.1,-214.8,1.2
-11.5,-214.9,1.4
-11.0,-216.1,1.8
-10.4,-216.1,1.7
-9.8,-216.1,1.6
-9.2,-216.8,1.4
-8.7,-217.0,1.4
-8.1,-218.0,1.3
-7.5,-217.8,1.2
-6.9,-215.1,0.7
-6.3,-211.3,0.7
-5.8,-206.3,0.7
-5.2,-201.3,0.7
-4.6,-195.3,0.7
-4.0,-187.3,0.6
-3.5,-177.1,1.0
-2.9,-165.5,1.5
-2.3,-148.5,2.2
-1.7,-122.4,1.8
-1.2,-90.1,2.3
-0.6,-57.7,3.3
0.0,-25.4,2.9
0.6,14.4,4.1
1.2,52.5,3.0
1.7,91.2,2.1
2.3,124.2,2.2
2.9,148.2,1.7
3.5,165.4,1.6
4.0,180.4,1.7
4.6,192.5,1.9
5.2,200.0,1.8
5.8,203.1,1.9
6.3,200.9,2.1
6.9,193.9,2.8
7.5,195.9,2.5
8.1,203.5,1.9
8.7,211.3,1.3
9.2,215.9,1.3
9.8,219.9,1.3
10.4,223.1,1.4
11.0,224.5,1.7
11.5,223.3,1.9
12.1,220.4,1.7
12.7,218.6,1.6
13.3,217.5,1.8
13.8,215.6,2.2
14.4,215.3,2.0
15.0,216.3,2.0
15.6,219.8,1.8
16.2,222.5,1.8
16.7,223.5,2.1
17.3,224.5,2.5
17.9,223.9,2.4
18.5,222.3,2.8
19.0,217.9,2.9
19.6,215.0,2.7
20.2,215.5,3.3
20.8,213.3,3.9
21.3,213.9,4.3
21.9,214.3,4.9
22.5,211.5,6.2
23.1,203.5,6.1
23.7,198.1,5.2
24.2,194.8,8.1
24.8,191.6,10.7
25.4,195.8,12.0
26.0,208.0,11.8
26.5,223.8,8.9
27.1,235.5,9.3
27.7,230.7,16.5
28.3,210.5,13.9
28.9,200.7,12.4
29.4,201.1,15.9
32.3,208.5,15.8
32.9,202.2,7.8
33.5,201.5,5.5
34.0,203.4,5.3
34.6,216.3,5.6
35.2,226.6,6.7
35.8,226.4,8.0
36.4,225.1,7.4
36.9,226.3,6.4
37.5,233.0,6.2
