objid,type,ra,dec,u,g,r,i,z,redshift
1237671939804561466,GALAXY,258.14536146992,64.0707039556691,17.96586,15.43528,14.45425,13.74995,13.69962,Null
1237671939804561475,GALAXY,258.213356620306,64.0731695837472,19.24982,17.20155,16.26258,15.75252,15.49401,0.07390364
1237671939804561476,GALAXY,258.119946070518,64.0607482946166,17.35083,14.94665,14.0375,13.56921,13.33719,0.07343803
1237671939804561477,GALAXY,258.10598183411,64.0221140024903,19.61755,17.57909,16.65882,16.26594,15.9918,Null
1237671939804561478,GALAXY,258.117679672048,64.0311021602684,19.87116,17.84584,16.8345,16.38828,16.09958,0.08687139
1237671939804561483,GALAXY,258.133634671946,64.0385560326226,19.56118,17.64848,16.64314,16.21251,15.97259,0.08280216
1237671939804561495,GALAXY,258.069256809113,64.0586866528875,20.83672,18.65034,17.70705,17.28511,17.01028,Null
1237671939804561500,GALAXY,258.085355078808,64.0647713453408,24.39861,23.22829,18.99702,19.36614,18.10238,Null
1237671939804561509,GALAXY,258.16738322839,64.0782701769413,24.68578,20.7132,20.10403,20.24549,19.81273,Null
1237671939804561529,GALAXY,258.104212345619,64.0597491922873,24.3996,22.57489,21.7804,21.20489,21.36897,Null
1237671939804561640,GALAXY,258.258457871243,64.0522970986782,17.98511,15.83024,14.83095,14.39797,14.0908,Null
1237671939804561763,GALAXY,257.951229099967,64.0752260873783,20.18806,18.21236,17.2866,16.87274,16.55939,0.08734854
1237671939804561812,GALAXY,257.990479542423,64.0557196195975,19.5834,17.60507,16.65731,16.22211,15.8844,0.08345834
1237671939804561830,GALAXY,257.991871547624,64.0891510021973,18.8715,16.84598,15.92457,15.48088,15.13799,0.07968805
1237671939804561980,GALAXY,258.187916681741,64.0310221817594,21.09698,19.19179,18.28752,17.89297,17.55083,Null
1237671939804561999,GALAXY,258.230950983658,64.032409038412,19.74761,18.29159,17.63881,17.27,17.15743,0.08127932
1237671939804626957,GALAXY,258.319438271719,64.0556882616846,19.2184,17.24371,16.31705,15.87998,15.57243,0.07458469
1237671939804626958,GALAXY,258.31582624186,64.051847399259,18.72445,16.54134,15.58639,15.13234,14.83273,Null
1237671939804626959,GALAXY,258.371305359595,64.0468693036784,17.81879,15.6649,14.64762,14.22721,13.90421,0.07843956
1237671939804626960,GALAXY,258.343897730875,64.0489907644879,19.05873,17.08336,16.15984,15.72958,15.39665,Null
1237671939804627128,GALAXY,258.412502347201,64.0136147654337,19.97745,17.80485,16.87171,16.45066,16.16562,Null
1237671939804627262,GALAXY,258.272812928128,64.0912234312119,19.88471,17.66265,16.70019,16.24949,15.89843,0.08209412
1237671939804627265,GALAXY,258.265722450296,64.1171180093868,18.49716,16.4852,15.5344,15.09496,14.75453,0.08092269
1237671939804627279,GALAXY,258.303782078456,64.028781107508,19.64469,17.67819,16.78151,16.36257,16.03446,0.07704972
1237671939804627306,GALAXY,258.340516630173,64.0690707331199,18.71745,16.65773,15.71131,15.28201,14.95813,0.0761909
1237671939804627307,GALAXY,258.329332577072,64.0768468165111,18.16275,16.11195,15.15861,14.73168,14.4307,0.08112399
1237671939804627378,GALAXY,258.391298041976,64.0133828559746,18.49996,16.50575,15.53279,15.13875,14.79913,0.08205031
1237671939804627395,GALAXY,258.403624159064,63.9885826448208,19.28688,17.68734,16.95406,16.5689,16.305,0.07087519
1237671939804627451,GALAXY,258.429071060639,64.0819603512709,19.0334,16.84672,15.86724,15.42686,15.06305,0.0846009
1237671939804627464,GALAXY,258.449947985156,64.0259169778807,20.05634,18.37335,17.51488,17.13108,16.85505,0.0718016
1237671939804627467,GALAXY,258.476323682703,64.0046997645147,19.47974,17.76343,16.93738,16.56115,16.31844,0.0870939
1237671939804627468,GALAXY,258.463305483247,64.0035185573993,18.23261,16.988,16.32518,15.93572,15.71291,0.08765244
1237671939804627716,GALAXY,258.363268143888,64.0035581135116,20.73138,19.74269,19.03925,18.6573,18.42551,Null
